PAIR of
Id1 Id2
55186 84337
55218 68714
55248 89540
55262 82606
55275 64273
55313 55696
55332 76675
55350 83226
55357 78515
55386 88273
55410 86628
55660 79764
55671 70608
55765 86719
55844 65093
55845 83888
55961 65415
56044 76886
56110 91239
56116 78189
56244 82234
56248 61418
56324 88271
56663 84265
56870 59120
57025 58195
57030 79605
57077 65357
57147 83365
57151 60788
57215 87891
57245 65181
57257 61067
57435 87809
57473 83000
57584 73831
57792 70007
57820 62820
57874 64618
57918 66112
57984 69743
58131 67623
58140 67469
58147 83898
58172 81808
58186 91789
58230 69601
58432 74179
58481 64991
58621 84253
58629 86113
58671 84926
58689 84829
58922 71691
59137 76637
59209 72397
59210 60964
59230 88228
59351 60396
59536 86395
59548 69993
59691 88964
59703 81499
59900 80995
59968 63869
60244 64222
60261 68700
60716 62980
60747 63639
60846 81255
60847 69865
60910 64288
60943 64951
61232 78766
61489 61564
61517 82325
61544 69853
61591 87208
61694 80079
61789 77633
61799 88223
61915 69349
62030 85140
62167 78992
62211 78054
62237 65963
62409 90864
62459 85434
62513 73632
62553 76270
62634 87506
62960 82785
63072 68958
63115 85885
63348 65273
63441 74642
63467 83266
63480 79241
63534 89373
63567 77909
63696 67839
63833 92398
63834 71157
64009 69735
64265 73920
64388 80636
64447 90344
64485 67157
64505 89151
64611 80031
64732 84336
65024 79804
65084 75422
65241 82172
65480 82002
65612 84510
65641 72765
65881 88488
65886 76248
65942 88383
65997 85951
66201 69704
66517 87917
66680 87953
66938 74669
67042 71308
67149 89699
67195 76674
67272 88045
67452 83080
67465 84209
67508 73538
67526 81198
67532 69470
67583 88061
67591 77290
67697 76400
67827 90972
68310 82003
68417 69907
68623 72289
68836 72312
68913 85029
68971 71418
69191 91962
69958 88465
70016 71759
70273 85294
70351 75242
70472 75797
70524 76878
70632 88452
71105 90638
71196 71900
71223 82515
71307 73710
71315 81717
71589 82407
71602 90603
71920 75995
71950 73679
72213 81462
72291 85475
72361 75782
72638 89654
72797 73775
73161 86018
73206 80834
73840 88374
73925 75473
73928 77899
74044 84042
74952 84186
75082 81191
75366 92762
